Step    T(K)    KE(kJ)    PE(kJ)    TotE(kJ)    P(MPa)
  3090    127.856  1.19594e+03 -4.22759e+03 -3.03165e+03  8.94618e+00
  3100    129.595  1.21220e+03 -4.22081e+03 -3.00860e+03  9.78523e+00
  3110    131.581  1.23078e+03 -4.21417e+03 -2.98340e+03  1.06790e+01
  3120    133.803  1.25156e+03 -4.20794e+03 -2.95638e+03  1.16151e+01
  3130    136.276  1.27470e+03 -4.20237e+03 -2.92767e+03  1.25767e+01
  3140    139.050  1.30064e+03 -4.19785e+03 -2.89721e+03  1.35397e+01
  3150    142.167  1.32980e+03 -4.19465e+03 -2.86485e+03  1.44866e+01
  3160    145.585  1.36177e+03 -4.19285e+03 -2.83108e+03  1.54202e+01
  3170    149.152  1.39514e+03 -4.19149e+03 -2.79635e+03  1.63914e+01
  3180    152.671  1.42805e+03 -4.18857e+03 -2.76052e+03  1.74876e+01
  3190    155.955  1.45877e+03 -4.18269e+03 -2.72392e+03  1.87742e+01
  3200    158.832  1.48568e+03 -4.17310e+03 -2.68742e+03  2.02892e+01
  3210    161.171  1.50756e+03 -4.15893e+03 -2.65137e+03  2.20590e+01
  3220    162.972  1.52440e+03 -4.13992e+03 -2.61552e+03  2.40643e+01
  3230    164.440  1.53813e+03 -4.11906e+03 -2.58093e+03  2.61528e+01
  3240    165.892  1.55172e+03 -4.09929e+03 -2.54757e+03  2.81575e+01
  3250    167.601  1.56770e+03 -4.08277e+03 -2.51507e+03  2.99463e+01
  3260    169.686  1.58721e+03 -4.07138e+03 -2.48417e+03  3.14266e+01
  3270    172.005  1.60890e+03 -4.06420e+03 -2.45530e+03  3.26341e+01
  3280    174.251  1.62990e+03 -4.05825e+03 -2.42835e+03  3.36949e+01
